Query	data
 How much did the former CEO of the Canada Infrastructure Bank receive in a bonus?	{"Subject1":"former CEO of the Canada Infrastructure Bank","What-Was-Said-About-the-Subject":"receive in a bonus"}
 How much did the former CEO of the Canada Infrastructure Bank receive in a bonus?	{"Subject1":"CEO of the Canada Infrastructure Bank","What-Was-Said-About-the-Subject":"receive in a bonus"}
 Why are statutory school closures so important in response to this pandemic?	{"Subject1":"pandemic","What-Was-Said-About-the-Subject":"statutory school closures so important"}
 Why are statutory school closures so important in response to this pandemic?	{"Subject1":"statutory school closures","What-Was-Said-About-the-Subject":"important in response to this pandemic"}
 What is the percentage of people in the age group of fifteen to thirty-five who are willing to pay for speech	{"Subject1":"speech","What-Was-Said-About-the-Subject":"percentage of people in the age group of fifteen to thirty-five who are willing to pay"}
 What is the percentage of people in the age group of fifteen to thirty-five who are willing to pay for speech	{"Subject1":"percentage of people in the age group of fifteen to thirty-five","What-Was-Said-About-the-Subject":"willing to pay for speech"}
 Why did the user interface team need to create a remote control with fewer buttons?	{"Subject1":"remote control with fewer buttons","What-Was-Said-About-the-Subject":"user interface team need to create","Person":"user interface team"}
 Why did the user interface team need to create a remote control with fewer buttons?	{"Person":"user interface team","Subject1":"remote control with fewer buttons","What-Was-Said-About-the-Subject":"need to create"}
 How is the Welsh government planning on covering the costs of the change over to the newer system?	{"Subject1":"newer system","What-Was-Said-About-the-Subject":"Welsh government planning on covering the costs"}
 How is the Welsh government planning on covering the costs of the change over to the newer system?	{"Subject1":"newer system","What-Was-Said-About-the-Subject":"Welsh government planning on covering the costs of the change"}
 What does Professor B suggest Grad D do to address the problem of combinatorics?	{"Subject1":"combinatorics","What-Was-Said-About-the-Subject":"Professor B suggest Grad D do to address the problem","Person":"Professor B"}
 What does Professor B suggest Grad D do to address the problem of combinatorics?	{"Person":"Professor B","Subject1":"combinatorics","What-Was-Said-About-the-Subject":"Professor B suggest Grad D do to address the problem"}
 What steps are Welsh Ministers taking to improve the safety of teachers working in schools that have been repurposed to act as COVID hubs?	{"Subject1":"safety of teachers working in schools","What-Was-Said-About-the-Subject":"steps are Welsh Ministers taking to improve"}
 What steps are Welsh Ministers taking to improve the safety of teachers working in schools that have been repurposed to act as COVID hubs?	{"Subject1":"teachers working in schools","What-Was-Said-About-the-Subject":"steps are Welsh Ministers taking to improve the safety","Subject2":"COVID hubs"}
 Who ordered the original contract amount for clearing the blockage?	{"Subject1":"blockage","What-Was-Said-About-the-Subject":"ordered the original contract amount for clearing"}
 Who ordered the original contract amount for clearing the blockage?	{"Subject1":"blockage","What-Was-Said-About-the-Subject":"ordered the original contract amount for clearing"}
 What are the advantages of NW Archive for storing data for a project?	{"Subject1":"storing data","What-Was-Said-About-the-Subject":"advantages of NW Archive"}
 What are the advantages of NW Archive for storing data for a project?	{"What-Was-Said-About-the-Subject":"advantages of NW Archive for storing data","Subject1":"project"}
 How does the Welsh Government plan to ensure that all children have access to the hardware and connectivity they need to participate in digital learning?	{"Subject1":"hardware and connectivity","What-Was-Said-About-the-Subject":"Welsh Government plan to ensure that all children have access"}
 How does the Welsh Government plan to ensure that all children have access to the hardware and connectivity they need to participate in digital learning?	{"Subject1":"digital learning","What-Was-Said-About-the-Subject":"Welsh Government plan to ensure that all children have access to the hardware and connectivity they need to participate"}
 What is Grad D's opinion on the design of the SmartKom system?	{"Person":"Grad D","Subject1":"SmartKom system","What-Was-Said-About-the-Subject":"Grad D's opinion on the design"}
 What is Grad D's opinion on the design of the SmartKom system?	{"Subject1":"SmartKom system","What-Was-Said-About-the-Subject":"Grad D's opinion on the design","Person":"Grad D"}
 What is the Industrial Designer's opinion on how to market the remote?	{"Person":"Industrial Designer","Subject1":"remote","What-Was-Said-About-the-Subject":"Industrial Designer's opinion on how to market"}
 What is the Industrial Designer's opinion on how to market the remote?	{"Subject1":"remote","What-Was-Said-About-the-Subject":"Industrial Designer's opinion on how to market","Person":"Industrial Designer"}
 What is the lifespan of a CD-ROM if it is burned?	{"Subject1":"CD-ROM","Subject2":"burned","What-Was-Said-About-the-Subject":"lifespan"}
 What is the lifespan of a CD-ROM if it is burned?	{"Subject1":"CD-ROM","What-Was-Said-About-the-Subject":"lifespan"}
 What are some possible improvements that can be made to the battery life of the product, as discussed in the meeting?	{"Subject1":"battery life of the product","What-Was-Said-About-the-Subject":"some possible improvements"}
 What are some possible improvements that can be made to the battery life of the product, as discussed in the meeting?	{"Subject1":"battery life of the product","What-Was-Said-About-the-Subject":"possible improvements"}
 What is the Project Manager's response to the problem with the LCD display?	{"Subject1":"LCD display","What-Was-Said-About-the-Subject":"Project Manager's response to the problem","Person":"Project Manager"}
 What is the Project Manager's response to the problem with the LCD display?	{"Person":"Project Manager","Subject1":"LCD display","What-Was-Said-About-the-Subject":"Project Manager's response to the problem"}
 What is the difference between the FIR and IIR filters?	{"Subject1":"FIR and IIR filters","What-Was-Said-About-the-Subject":"difference"}
 What is the difference between the FIR and IIR filters?	{"Subject1":"FIR and IIR filters","What-Was-Said-About-the-Subject":"difference"}
 How many frames of silence did you have to detect before declaring the end of an utterance?	{"Subject1":"end of an utterance","What-Was-Said-About-the-Subject":"frames of silence did you have to detect before declaring"}
 How many frames of silence did you have to detect before declaring the end of an utterance?	{"Subject1":"frames of silence","What-Was-Said-About-the-Subject":"have to detect before declaring the end of an utterance"}
 What is the cost of the new system, as estimated by HMRC?	{"Subject1":"new system","What-Was-Said-About-the-Subject":"cost"}
 What is the cost of the new system, as estimated by HMRC?	{"Subject1":"new system","What-Was-Said-About-the-Subject":"cost"}
 What are the three features that are used to determine voiced-unvoiced?	{"Subject1":"voiced-unvoiced","What-Was-Said-About-the-Subject":"three features that are used to determine"}
 What are the three features that are used to determine voiced-unvoiced?	{"Subject1":"voiced-unvoiced","What-Was-Said-About-the-Subject":"three features that are used to determine"}
 What are the benefits of a user interface design that has a sleek and sexy appearance?	{"Subject1":"user interface design that has a sleek and sexy appearance","What-Was-Said-About-the-Subject":"benefits"}
